cluster,term,beta,standard_error,p_value_two_sided,ci95_low,ci95_high
client,log1p_car_count,0.08871505165036565,0.02174294406909675,4.513739085232286e-05,0.046097655221323114,0.1313324480794082
client,median_car_price_missing,-0.020809284962980717,0.008691547164254446,0.01666388220429,-0.0378452075088708,-0.0037733624170906387
client,log1p_median_car_price,0.012704825810025534,0.002699086449728816,2.525962897518099e-06,0.007414464170920766,0.0179951874491303
client,gender_M,0.00433249151826334,0.0033896288628856787,0.2012042089648627,-0.0023113721893309154,0.010976355225857597
client,gender_missing,0.12648950099379047,0.08902610230707447,0.15538308718211688,-0.04800667958304278,0.3009856815706237
client,age_type_code_A20,-0.009681588378354655,0.011877070951180515,0.4149943051801252,-0.03296131717376395,0.013598140417054642
client,age_type_code_A40,-0.03068541781171217,0.012001235921961258,0.010568027798261501,-0.05420851695133738,-0.00716231867208696
client,age_type_code_A60,-0.043011882101999764,0.012839393219895785,0.0008092986947751543,-0.06817781680807156,-0.017845947395927975
client,age_type_code_missing,-0.015181176258186522,0.03611885818238701,0.6742613305180977,-0.08597617498657628,0.055613822470203245
client,kladr_code_2,-0.01285230578098565,0.009901189821717947,0.19427951294713083,-0.03225919614552882,0.006554584583557519
client,kladr_code_23,-0.0035711259247075164,0.007573892943555018,0.6372843891713678,-0.018416383175098867,0.011274131325683834
client,kladr_code_24,-0.026685618787511193,0.006385353876362523,2.9351456417283905e-05,-0.03920127244618199,-0.0141699651288404
client,kladr_code_42,-0.004932344927430394,0.006667712382985972,0.4594671416015024,-0.018001437180876722,0.008136747326015933
client,kladr_code_47,0.019435780601895956,0.008137894018375122,0.01693342672313671,0.0034850494416407973,0.035386511762151115
client,kladr_code_50,-0.027851285068987253,0.005750717119026624,1.2857436627520024e-06,-0.03912301489701786,-0.016579555240956643
client,kladr_code_52,-0.010123073308957429,0.005455211915003551,0.06351205543301003,-0.02081559627398572,0.0005694496560708622
client,kladr_code_54,0.028946788311169903,0.006679651786183634,1.4726291706866555e-05,0.015854294154210236,0.042039282468129574
client,kladr_code_55,0.016715434438631074,0.008079166590272437,0.03856026687903191,0.0008798123490131107,0.03255105652824904
client,kladr_code_63,0.02161127720500738,0.008434010104332167,0.010400911027194617,0.005080141818712559,0.0381424125913022
client,kladr_code_66,-0.013474453035908291,0.005178664510879906,0.00927576193582683,-0.023624927494740447,-0.003323978577076137
client,kladr_code_72,-0.014741725972050505,0.007859620748494344,0.060717696023911166,-0.030147025831906437,0.000663573887805427
client,kladr_code_74,-0.004082803823108163,0.005119888395296097,0.4252029086194024,-0.014118073781094703,0.005952466134878378
client,kladr_code_77,-0.03940489109104991,0.005648894673102175,3.1177432430585813e-12,-0.05047704318344606,-0.028332738998653753
client,kladr_code_78,0.01192890038224269,0.005487969270249201,0.029740866505981522,0.0011721711537923708,0.02268562961069301
region,const,-0.4170521915937282,0.07811864501320492,8.274335191916485e-05,-0.5835581420068693,-0.2505462411805871
